Company,Car model,Horsepower(hp),Acceleration 0 to 100 km/h (seconds),Average_energy_consumption_1 (kWh/100km),Average_energy_consumption_2_3 (L/100km),Energy_type,Score overall balanced,Score performance oriented,Score environment oriented,Score expenditure oriented
Hyundai,Inster Cross 49 kWh,115,10.6,15.1,,electricity,18.0105753,3.377889644,15.35002789,66.3504606
Hyundai,Ioniq 5 Long Range 84 kWh 2WD,229,7.5,16,,electricity,30.1355168,9.699563495,19.75231844,74.35137335
Hyundai,Ioniq 5 N,609,3.5,21.2,,electricity,61.37895194,42.54584475,24.43467114,87.85399795
Hyundai,Ioniq 5 Standard Range 63 kWh 2WD,170,8.5,15.6,,electricity,24.607246,6.481116869,17.8942922,70.99883035
Hyundai,Bayon 2024 1.0 T-GDI,100,12.4,,5.4,gasoline,2.464121073,1.356425646,2.304982731,0.915421887
Hyundai,Kona 2 1.0 T-GDI,100,13.3,,5.7,gasoline,2.058630838,1.181380036,1.735544924,0.76077925
Hyundai,Kona 2 1.6 T-GDI ,170,8.5,,6.3,gasoline,5.959323313,4.399869746,3.167313348,1.89726058
Hyundai,Tucson 2024 1.6 T-GDI ,160,9.9,,5.8,gasoline,5.204997574,3.504471131,3.353900228,1.722141673
Hyundai,Ioniq 5 Long Range,325,5.3,16.8,,electricity,41.3399333,18.02836109,22.94112395,80.11143052
Hyundai,Ioniq 5 N,609,3.5,21.2,,electricity,61.37895194,42.54584475,24.43467114,87.85399795
Hyundai,Ioniq 5 Standard Range  ,170,8.5,15.6,,electricity,24.607246,6.481116869,17.8942922,70.99883035
Hyundai,Inster Cross   ,115,10.6,15.1,,electricity,18.0105753,3.377889644,15.35002789,66.3504606
Hyundai,Bayon   ,100,11.3,,5.4,gasoline,2.818777246,1.582965488,2.516272658,1.032407841
Hyundai,i20 1.0 T_GDI,100,10.4,,5.1,gasoline,3.320831477,1.819489176,3.184826521,1.210982349
Hyundai,i20 1.0 T_GDI Auto,100,11.4,,5.2,gasoline,2.894892865,1.572625125,2.802809089,1.069063
Hyundai,i20 N,204,6.2,,6.7,gasoline,8.506548586,7.270890713,3.872077427,2.500032481
Hyundai,i20 MPI,84,13.1,,5.3,gasoline,1.69124757,0.868906317,1.941743251,0.654220861
Hyundai,i20 1.0 T_GDI 48V-Hybrid,99,11.4,,5.4,hybrid,2.745698445,1.535597271,2.47305458,1.008567237
Hyundai,i10 1.0 T_GDI,100,10.5,,5.2,gasoline,3.222600846,1.787018318,2.997918361,1.173843219
Hyundai,i10 1.0i,62,15.9,,4.9,gasoline,0.308300911,0.077916332,1.466650663,0.150665718
Hyundai,i10 1.0i Auto,66,17.8,,5.3,gasoline,0,0,0.810307323,0
Hyundai,i10 1.2i,78,13.2,,5.2,gasoline,1.462518501,0.718310149,1.908984515,0.577547594
Hyundai,i10 1.2i Auto,78,16.6,,5.4,gasoline,0.64365734,0.326071301,1.151178159,0.256277978
